product_name,product_price,product_image,search_text
10 Oz Mondial Wine Glass,$0.59,https://partyperfect.com/itemimages/1543t.jpg,GLASSWARE_RENTALS
10.5 Oz Highball Glass,$0.51,https://partyperfect.com/itemimages/1567t.jpg,GLASSWARE_RENTALS
10.5 Oz Old Fashion Glass,$0.51,https://partyperfect.com/itemimages/1570t.jpg,GLASSWARE_RENTALS
11 Oz Pilsner Glass,$0.54,https://partyperfect.com/itemimages/1575t.jpg,GLASSWARE_RENTALS
11oz Mint Julep,$1.73,https://partyperfect.com/itemimages/1604t.jpg,GLASSWARE_RENTALS
12 Oz Double Old Fashion Glass,$0.61,https://partyperfect.com/itemimages/1571t.jpg,GLASSWARE_RENTALS
12 Oz Stemless Wine Glass,$0.55,https://partyperfect.com/itemimages/1603t.jpg,GLASSWARE_RENTALS
13 Oz Mondial All Purpose Glass,$0.55,https://partyperfect.com/itemimages/1594t.jpg,GLASSWARE_RENTALS
13 Oz Zombie Glass,$0.55,https://partyperfect.com/itemimages/1555t.jpg,GLASSWARE_RENTALS
13.8 Oz Tritan Wine Glass,$0.68,https://partyperfect.com/itemimages/9315t.jpg,GLASSWARE_RENTALS
14 Oz Mondial Wine Glass,$0.61,https://partyperfect.com/itemimages/7957t.jpg,GLASSWARE_RENTALS
15 Oz Tritan All Purpose Glass,$0.70,https://partyperfect.com/itemimages/9310t.jpg,GLASSWARE_RENTALS
16 Oz Balloon Red Wine Glass,$0.68,https://partyperfect.com/itemimages/1593t.jpg,GLASSWARE_RENTALS
16 Oz Libbey Ice Tea Glass,$0.57,https://partyperfect.com/itemimages/9260t.jpg,GLASSWARE_RENTALS
4 Oz Mini Martini Glass,$0.55,https://partyperfect.com/itemimages/1552t.jpg,GLASSWARE_RENTALS
6.5 Oz Mondial Champagne Flute,$0.61,https://partyperfect.com/itemimages/1544t.jpg,GLASSWARE_RENTALS
7 Oz Tritan Champagne Flute,$0.68,https://partyperfect.com/itemimages/9309t.jpg,GLASSWARE_RENTALS
8 Oz Mondial Martini Glass,$0.55,https://partyperfect.com/itemimages/1545t.jpg,GLASSWARE_RENTALS
8.5 Oz Glass Irish Coffee Cup,$0.55,https://partyperfect.com/itemimages/1565t.jpg,GLASSWARE_RENTALS
Glass Creamer,$3.15,https://partyperfect.com/itemimages/1563t.jpg,GLASSWARE_RENTALS
Glass Sugar Bowl,$3.15,https://partyperfect.com/itemimages/1583t.jpg,GLASSWARE_RENTALS
Glass Sugar Caddy,$3.15,https://partyperfect.com/itemimages/1584t.jpg,GLASSWARE_RENTALS
Glass Wine Decanter,$1.52,https://partyperfect.com/itemimages/1596t.jpg,GLASSWARE_RENTALS
Large Slender Salt And Pepper Set,$2.05,https://partyperfect.com/itemimages/1579t.jpg,GLASSWARE_RENTALS
Oil and Vinegar Bottle,$1.95,https://partyperfect.com/itemimages/8275t.jpg,GLASSWARE_RENTALS
Punch Cup Glass,$0.53,https://partyperfect.com/itemimages/1038t.jpg,GLASSWARE_RENTALS
Shot Glass,$0.47,https://partyperfect.com/itemimages/1551t.jpg,GLASSWARE_RENTALS
Small Salt And Pepper Set,$2.05,https://partyperfect.com/itemimages/1580t.jpg,GLASSWARE_RENTALS
Stemless Mini Martini Glass,$0.55,https://partyperfect.com/itemimages/1554t.jpg,GLASSWARE_RENTALS
Stemless Mini Martini Glass Orange Base,$0.63,https://partyperfect.com/itemimages/1562t.jpg,GLASSWARE_RENTALS
